case_id,activity,timestamp,resource,supplier_name
CASE-0007,Customs Clearance,2025-01-29T11:40:35Z,R-Ops3,Deecan Roadlines
CASE-0007,Road Transport Dispatch,2025-01-29T17:49:06Z,R-Ops3,Deecan Roadlines
CASE-0007,Last Mile Delivery,2025-01-30T18:14:51Z,R-Ops3,Deecan Roadlines
CASE-0008,Order Received,2025-12-02T15:25:00Z,R-Ops2,SpeedJet Air Cargo
CASE-0008,Warehouse Pick & Pack,2025-12-02T17:14:37Z,R-Ops2,SpeedJet Air Cargo
CASE-0008,Customs Clearance,2025-12-02T21:48:54Z,R-Ops2,SpeedJet Air Cargo
CASE-0008,Road Transport Dispatch,2025-12-03T02:57:29Z,R-Ops2,SpeedJet Air Cargo
CASE-0008,Last Mile Delivery,2025-12-04T01:24:28Z,R-Ops2,SpeedJet Air Cargo
CASE-0009,Order Received,2025-10-26T12:23:00Z,R-Ops4,FastCargo Ltd.
CASE-0009,Warehouse Pick & Pack,2025-10-26T13:12:44Z,R-Ops4,FastCargo Ltd.
CASE-0009,Customs Clearance,2025-10-26T19:12:08Z,R-Ops4,FastCargo Ltd.
CASE-0009,Road Transport Dispatch,2025-10-27T03:16:43Z,R-Ops4,FastCargo Ltd.
CASE-0009,Incineration Disposal,2025-10-27T18:44:59Z,R-Ops4,FastCargo Ltd.
CASE-0009,Last Mile Delivery,2025-10-27T22:07:33Z,R-Ops4,FastCargo Ltd.
CASE-0010,Order Received,2025-02-02T12:24:00Z,R-Ops5,GreenFreight Ltd.
CASE-0010,Warehouse Pick & Pack,2025-02-02T13:47:37Z,R-Ops5,GreenFreight Ltd.
CASE-0010,Customs Clearance,2025-02-02T17:39:57Z,R-Ops5,GreenFreight Ltd.
CASE-0010,Road Transport Dispatch,2025-02-02T23:40:38Z,R-Ops5,GreenFreight Ltd.
CASE-0010,Last Mile Delivery,2025-02-04T00:06:05Z,R-Ops5,GreenFreight Ltd.
CASE-0011,Order Received,2025-05-17T20:21:00Z,R-Ops5,EcoLink Carriers
CASE-0011,Warehouse Pick & Pack,2025-05-17T21:01:02Z,R-Ops5,EcoLink Carriers
CASE-0011,Customs Clearance,2025-05-18T00:45:23Z,R-Ops5,EcoLink Carriers
CASE-0011,Truck Delivery Transport Dispatch,2025-05-18T08:23:10Z,R-Ops5,EcoLink Carriers
CASE-0011,Recycling Processing,2025-05-19T11:08:40Z,R-Ops5,EcoLink Carriers
CASE-0011,Last Mile Delivery,2025-05-19T12:40:50Z,R-Ops5,EcoLink Carriers
CASE-0012,Order Received,2025-11-24T16:38:00Z,R-Ops3,EcoLink Carriers
CASE-0012,Warehouse Pick & Pack,2025-11-24T17:25:54Z,R-Ops3,EcoLink Carriers
CASE-0012,Customs Clearance,2025-11-24T20:55:38Z,R-Ops3,EcoLink Carriers
CASE-0012,Truck Delivery Transport Dispatch,2025-11-25T02:13:11Z,R-Ops3,EcoLink Carriers
CASE-0012,Last Mile Delivery,2025-11-26T05:26:38Z,R-Ops3,EcoLink Carriers
CASE-0013,Order Received,2025-09-08T00:07:00Z,R-Ops3,FastCargo Ltd.
CASE-0013,Warehouse Pick & Pack,2025-09-08T02:00:37Z,R-Ops3,FastCargo Ltd.
CASE-0013,Customs Clearance,2025-09-08T07:31:30Z,R-Ops3,FastCargo Ltd.
CASE-0013,Road Transport Dispatch,2025-09-08T18:10:42Z,R-Ops3,FastCargo Ltd.
CASE-0013,Last Mile Delivery,2025-09-09T09:45:28Z,R-Ops3,FastCargo Ltd.
CASE-0014,Order Received,2025-09-06T02:48:00Z,R-Ops1,EcoLink Carriers
CASE-0014,Warehouse Pick & Pack,2025-09-06T04:05:56Z,R-Ops1,EcoLink Carriers
CASE-0014,Customs Clearance,2025-09-06T06:36:07Z,R-Ops1,EcoLink Carriers
CASE-0014,Truck Delivery Transport Dispatch,2025-09-06T15:52:48Z,R-Ops1,EcoLink Carriers
CASE-0014,Last Mile Delivery,2025-09-07T11:31:52Z,R-Ops1,EcoLink Carriers
CASE-0015,Order Received,2025-04-19T17:48:00Z,R-Ops4,FastCargo Ltd.
CASE-0015,Warehouse Pick & Pack,2025-04-19T19:23:41Z,R-Ops4,FastCargo Ltd.
CASE-0015,Customs Clearance,2025-04-19T22:11:58Z,R-Ops4,FastCargo Ltd.
CASE-0015,Truck Delivery Transport Dispatch,2025-04-20T04:41:35Z,R-Ops4,FastCargo Ltd.
CASE-0015,Last Mile Delivery,2025-04-21T05:11:31Z,R-Ops4,FastCargo Ltd.
CASE-0016,Order Received,2025-03-03T07:14:00Z,R-Ops4,FastCargo Ltd.
CASE-0016,Warehouse Pick & Pack,2025-03-03T07:49:45Z,R-Ops4,FastCargo Ltd.
CASE-0016,Customs Clearance,2025-03-03T09:54:48Z,R-Ops4,FastCargo Ltd.
CASE-0016,Road Transport Dispatch,2025-03-03T18:20:41Z,R-Ops4,FastCargo Ltd.
CASE-0016,Last Mile Delivery,2025-03-04T09:25:00Z,R-Ops4,FastCargo Ltd.
CASE-0017,Order Received,2025-02-04T01:55:00Z,R-Ops2,EcoLink Carriers
CASE-0017,Warehouse Pick & Pack,2025-02-04T02:54:44Z,R-Ops2,EcoLink Carriers
CASE-0017,Customs Clearance,2025-02-04T06:58:08Z,R-Ops2,EcoLink Carriers
CASE-0017,Road Transport Dispatch,2025-02-04T13:11:48Z,R-Ops2,EcoLink Carriers
CASE-0017,Last Mile Delivery,2025-02-05T09:35:20Z,R-Ops2,EcoLink Carriers
CASE-0018,Order Received,2025-08-31T07:50:00Z,R-Ops5,FastCargo Ltd.
CASE-0018,Warehouse Pick & Pack,2025-08-31T09:02:34Z,R-Ops5,FastCargo Ltd.
CASE-0018,Customs Clearance,2025-08-31T12:40:15Z,R-Ops5,FastCargo Ltd.
CASE-0018,Air Freight Dispatch,2025-08-31T17:25:32Z,R-Ops5,FastCargo Ltd.
CASE-0018,Last Mile Delivery,2025-08-31T20:50:34Z,R-Ops5,FastCargo Ltd.
CASE-0019,Order Received,2025-02-01T12:46:00Z,R-Ops1,EcoLink Carriers
CASE-0019,Warehouse Pick & Pack,2025-02-01T13:46:32Z,R-Ops1,EcoLink Carriers
CASE-0019,Customs Clearance,2025-02-01T19:13:20Z,R-Ops1,EcoLink Carriers
CASE-0019,Road Transport Dispatch,2025-02-02T01:12:41Z,R-Ops1,EcoLink Carriers
CASE-0019,Last Mile Delivery,2025-02-02T20:41:51Z,R-Ops1,EcoLink Carriers
CASE-0020,Order Received,2025-05-08T02:28:00Z,R-Ops4,SpeedJet Air Cargo
CASE-0020,Warehouse Pick & Pack,2025-05-08T04:10:43Z,R-Ops4,SpeedJet Air Cargo
CASE-0020,Customs Clearance,2025-05-08T09:36:09Z,R-Ops4,SpeedJet Air Cargo
CASE-0020,Air Freight Dispatch,2025-05-08T14:23:09Z,R-Ops4,SpeedJet Air Cargo
CASE-0020,Recycling Processing,2025-05-08T18:32:53Z,R-Ops4,SpeedJet Air Cargo
CASE-0020,Last Mile Delivery,2025-05-08T21:48:31Z,R-Ops4,SpeedJet Air Cargo
CASE-0021,Order Received,2025-07-28T15:30:00Z,R-Ops2,Deecan Roadlines
CASE-0021,Warehouse Pick & Pack,2025-07-28T16:19:14Z,R-Ops2,Deecan Roadlines
CASE-0021,Customs Clearance,2025-07-28T19:55:29Z,R-Ops2,Deecan Roadlines
CASE-0021,Road Transport Dispatch,2025-07-29T00:23:37Z,R-Ops2,Deecan Roadlines
CASE-0021,Incineration Disposal,2025-07-30T01:14:49Z,R-Ops2,Deecan Roadlines
CASE-0021,Last Mile Delivery,2025-07-30T03:36:43Z,R-Ops2,Deecan Roadlines
CASE-0022,Order Received,2025-12-05T22:31:00Z,R-Ops5,GreenFreight Ltd.
CASE-0022,Warehouse Pick & Pack,2025-12-05T23:14:55Z,R-Ops5,GreenFreight Ltd.
CASE-0022,Customs Clearance,2025-12-06T02:26:08Z,R-Ops5,GreenFreight Ltd.
CASE-0022,Road Transport Dispatch,2025-12-06T14:11:07Z,R-Ops5,GreenFreight Ltd.
CASE-0022,Last Mile Delivery,2025-12-07T10:36:26Z,R-Ops5,GreenFreight Ltd.
CASE-0023,Order Received,2025-10-27T15:32:00Z,R-Ops1,EcoLink Carriers
CASE-0023,Warehouse Pick & Pack,2025-10-27T17:24:44Z,R-Ops1,EcoLink Carriers
CASE-0023,Customs Clearance,2025-10-27T21:32:12Z,R-Ops1,EcoLink Carriers
CASE-0023,Road Transport Dispatch,2025-10-28T01:59:31Z,R-Ops1,EcoLink Carriers
CASE-0023,Recycling Processing,2025-10-29T01:30:19Z,R-Ops1,EcoLink Carriers
CASE-0023,Last Mile Delivery,2025-10-29T05:05:27Z,R-Ops1,EcoLink Carriers
CASE-0024,Order Received,2025-10-19T07:37:00Z,R-Ops1,GreenFreight Ltd.
CASE-0024,Warehouse Pick & Pack,2025-10-19T09:00:30Z,R-Ops1,GreenFreight Ltd.
CASE-0024,Customs Clearance,2025-10-19T13:29:09Z,R-Ops1,GreenFreight Ltd.
CASE-0024,Road Transport Dispatch,2025-10-19T20:50:23Z,R-Ops1,GreenFreight Ltd.
CASE-0024,Last Mile Delivery,2025-10-20T17:04:03Z,R-Ops1,GreenFreight Ltd.
CASE-0025,Order Received,2025-05-03T08:25:00Z,R-Ops3,Deecan Roadlines
CASE-0025,Warehouse Pick & Pack,2025-05-03T09:06:46Z,R-Ops3,Deecan Roadlines
CASE-0025,Customs Clearance,2025-05-03T13:41:41Z,R-Ops3,Deecan Roadlines
CASE-0025,Truck Delivery Transport Dispatch,2025-05-03T21:21:10Z,R-Ops3,Deecan Roadlines
CASE-0025,Incineration Disposal,2025-05-05T00:42:36Z,R-Ops3,Deecan Roadlines
CASE-0025,Last Mile Delivery,2025-05-05T03:23:56Z,R-Ops3,Deecan Roadlines
CASE-0026,Order Received,2025-10-03T06:32:00Z,R-Ops1,EcoLink Carriers
CASE-0026,Warehouse Pick & Pack,2025-10-03T07:25:52Z,R-Ops1,EcoLink Carriers
CASE-0026,Customs Clearance,2025-10-03T13:09:51Z,R-Ops1,EcoLink Carriers
CASE-0026,Truck Delivery Transport Dispatch,2025-10-04T00:12:39Z,R-Ops1,EcoLink Carriers
CASE-0026,Landfill Disposal,2025-10-04T21:54:22Z,R-Ops1,EcoLink Carriers
CASE-0026,Last Mile Delivery,2025-10-05T01:01:01Z,R-Ops1,EcoLink Carriers
CASE-0027,Order Received,2025-01-05T21:52:00Z,R-Ops5,FastCargo Ltd.
CASE-0027,Warehouse Pick & Pack,2025-01-05T23:11:54Z,R-Ops5,FastCargo Ltd.
CASE-0027,Customs Clearance,2025-01-06T04:55:32Z,R-Ops5,FastCargo Ltd.
CASE-0027,Truck Delivery Transport Dispatch,2025-01-06T09:45:15Z,R-Ops5,FastCargo Ltd.
CASE-0027,Last Mile Delivery,2025-01-07T06:23:56Z,R-Ops5,FastCargo Ltd.
CASE-0028,Order Received,2025-05-20T09:38:00Z,R-Ops2,FastCargo Ltd.
CASE-0028,Warehouse Pick & Pack,2025-05-20T10:26:57Z,R-Ops2,FastCargo Ltd.
CASE-0028,Customs Clearance,2025-05-20T13:49:14Z,R-Ops2,FastCargo Ltd.
CASE-0028,Truck Delivery Transport Dispatch,2025-05-20T23:19:14Z,R-Ops2,FastCargo Ltd.
CASE-0028,Landfill Disposal,2025-05-21T22:22:29Z,R-Ops2,FastCargo Ltd.
CASE-0028,Last Mile Delivery,2025-05-21T23:31:38Z,R-Ops2,FastCargo Ltd.
CASE-0029,Order Received,2025-01-23T00:21:00Z,R-Ops3,GreenFreight Ltd.
CASE-0029,Warehouse Pick & Pack,2025-01-23T02:00:24Z,R-Ops3,GreenFreight Ltd.
CASE-0029,Customs Clearance,2025-01-23T06:33:18Z,R-Ops3,GreenFreight Ltd.
CASE-0029,Air Freight Dispatch,2025-01-23T12:39:02Z,R-Ops3,GreenFreight Ltd.
CASE-0029,Last Mile Delivery,2025-01-23T16:51:26Z,R-Ops3,GreenFreight Ltd.
CASE-0030,Order Received,2025-02-08T22:57:00Z,R-Ops1,EcoLink Carriers
CASE-0030,Warehouse Pick & Pack,2025-02-08T23:40:24Z,R-Ops1,EcoLink Carriers
CASE-0030,Customs Clearance,2025-02-09T01:49:03Z,R-Ops1,EcoLink Carriers
CASE-0030,Road Transport Dispatch,2025-02-09T08:46:17Z,R-Ops1,EcoLink Carriers
CASE-0030,Recycling Processing,2025-02-10T04:04:09Z,R-Ops1,EcoLink Carriers
CASE-0030,Last Mile Delivery,2025-02-10T07:52:06Z,R-Ops1,EcoLink Carriers
CASE-0031,Order Received,2025-04-18T21:15:00Z,R-Ops3,EcoLink Carriers
CASE-0031,Warehouse Pick & Pack,2025-04-18T22:45:01Z,R-Ops3,EcoLink Carriers
CASE-0031,Customs Clearance,2025-04-19T02:09:54Z,R-Ops3,EcoLink Carriers
CASE-0031,Truck Delivery Transport Dispatch,2025-04-19T10:38:39Z,R-Ops3,EcoLink Carriers
CASE-0031,Last Mile Delivery,2025-04-20T14:22:57Z,R-Ops3,EcoLink Carriers
CASE-0032,Order Received,2025-04-01T13:01:00Z,R-Ops2,Deecan Roadlines
CASE-0032,Warehouse Pick & Pack,2025-04-01T13:47:08Z,R-Ops2,Deecan Roadlines
CASE-0032,Customs Clearance,2025-04-01T19:29:01Z,R-Ops2,Deecan Roadlines
CASE-0032,Road Transport Dispatch,2025-04-02T05:44:33Z,R-Ops2,Deecan Roadlines
CASE-0032,Last Mile Delivery,2025-04-03T03:26:30Z,R-Ops2,Deecan Roadlines
CASE-0033,Order Received,2025-03-23T22:06:00Z,R-Ops3,Deecan Roadlines
CASE-0033,Warehouse Pick & Pack,2025-03-23T23:10:25Z,R-Ops3,Deecan Roadlines
CASE-0033,Customs Clearance,2025-03-24T01:19:43Z,R-Ops3,Deecan Roadlines
CASE-0033,Road Transport Dispatch,2025-03-24T09:05:39Z,R-Ops3,Deecan Roadlines
CASE-0033,Last Mile Delivery,2025-03-25T09:16:43Z,R-Ops3,Deecan Roadlines
CASE-0034,Order Received,2025-01-13T21:12:00Z,R-Ops2,Deecan Roadlines
CASE-0034,Warehouse Pick & Pack,2025-01-13T22:17:51Z,R-Ops2,Deecan Roadlines
CASE-0034,Customs Clearance,2025-01-14T01:24:43Z,R-Ops2,Deecan Roadlines
CASE-0034,Air Freight Dispatch,2025-01-14T05:58:02Z,R-Ops2,Deecan Roadlines
CASE-0034,Last Mile Delivery,2025-01-14T09:22:19Z,R-Ops2,Deecan Roadlines
CASE-0035,Order Received,2025-01-15T03:56:00Z,R-Ops3,FastCargo Ltd.
CASE-0035,Warehouse Pick & Pack,2025-01-15T05:53:20Z,R-Ops3,FastCargo Ltd.
CASE-0035,Customs Clearance,2025-01-15T08:36:11Z,R-Ops3,FastCargo Ltd.
CASE-0035,Road Transport Dispatch,2025-01-15T20:18:12Z,R-Ops3,FastCargo Ltd.
CASE-0035,Last Mile Delivery,2025-01-16T12:23:15Z,R-Ops3,FastCargo Ltd.
CASE-0036,Order Received,2025-11-07T16:07:00Z,R-Ops4,SpeedJet Air Cargo
CASE-0036,Warehouse Pick & Pack,2025-11-07T17:11:40Z,R-Ops4,SpeedJet Air Cargo
CASE-0036,Customs Clearance,2025-11-07T21:30:02Z,R-Ops4,SpeedJet Air Cargo
CASE-0036,Air Freight Dispatch,2025-11-08T03:32:18Z,R-Ops4,SpeedJet Air Cargo
CASE-0036,Last Mile Delivery,2025-11-08T05:32:43Z,R-Ops4,SpeedJet Air Cargo
CASE-0037,Order Received,2025-07-06T13:04:00Z,R-Ops2,FastCargo Ltd.
CASE-0037,Warehouse Pick & Pack,2025-07-06T14:59:23Z,R-Ops2,FastCargo Ltd.
CASE-0037,Customs Clearance,2025-07-06T20:40:23Z,R-Ops2,FastCargo Ltd.
CASE-0037,Air Freight Dispatch,2025-07-07T05:39:29Z,R-Ops2,FastCargo Ltd.
CASE-0037,Last Mile Delivery,2025-07-07T08:09:24Z,R-Ops2,FastCargo Ltd.
CASE-0038,Order Received,2025-12-08T13:20:00Z,R-Ops3,FastCargo Ltd.
CASE-0038,Warehouse Pick & Pack,2025-12-08T14:26:12Z,R-Ops3,FastCargo Ltd.
CASE-0038,Customs Clearance,2025-12-08T17:37:10Z,R-Ops3,FastCargo Ltd.
CASE-0038,Road Transport Dispatch,2025-12-08T22:38:16Z,R-Ops3,FastCargo Ltd.
CASE-0038,Last Mile Delivery,2025-12-09T23:02:29Z,R-Ops3,FastCargo Ltd.
CASE-0039,Order Received,2025-10-19T09:25:00Z,R-Ops5,Deecan Roadlines
CASE-0039,Warehouse Pick & Pack,2025-10-19T10:44:18Z,R-Ops5,Deecan Roadlines
CASE-0039,Customs Clearance,2025-10-19T12:44:24Z,R-Ops5,Deecan Roadlines
CASE-0039,Road Transport Dispatch,2025-10-19T19:02:07Z,R-Ops5,Deecan Roadlines
CASE-0039,Last Mile Delivery,2025-10-20T15:50:07Z,R-Ops5,Deecan Roadlines
CASE-0040,Order Received,2025-08-15T21:13:00Z,R-Ops4,GreenFreight Ltd.
CASE-0040,Warehouse Pick & Pack,2025-08-15T22:29:00Z,R-Ops4,GreenFreight Ltd.
CASE-0040,Customs Clearance,2025-08-16T03:39:30Z,R-Ops4,GreenFreight Ltd.
CASE-0040,Air Freight Dispatch,2025-08-16T15:20:13Z,R-Ops4,GreenFreight Ltd.
CASE-0040,Incineration Disposal,2025-08-16T19:58:20Z,R-Ops4,GreenFreight Ltd.
CASE-0040,Last Mile Delivery,2025-08-16T22:49:48Z,R-Ops4,GreenFreight Ltd.
CASE-0041,Order Received,2025-12-11T09:14:00Z,R-Ops2,EcoLink Carriers
CASE-0041,Warehouse Pick & Pack,2025-12-11T10:56:35Z,R-Ops2,EcoLink Carriers
CASE-0041,Customs Clearance,2025-12-11T13:31:57Z,R-Ops2,EcoLink Carriers
CASE-0041,Truck Delivery Transport Dispatch,2025-12-11T17:54:08Z,R-Ops2,EcoLink Carriers
CASE-0041,Last Mile Delivery,2025-12-12T18:00:54Z,R-Ops2,EcoLink Carriers
CASE-0042,Order Received,2025-11-19T18:12:00Z,R-Ops4,GreenFreight Ltd.
CASE-0042,Warehouse Pick & Pack,2025-11-19T19:46:39Z,R-Ops4,GreenFreight Ltd.
CASE-0042,Customs Clearance,2025-11-19T23:18:48Z,R-Ops4,GreenFreight Ltd.
CASE-0042,Road Transport Dispatch,2025-11-20T06:30:38Z,R-Ops4,GreenFreight Ltd.
CASE-0042,Last Mile Delivery,2025-11-21T04:23:12Z,R-Ops4,GreenFreight Ltd.
CASE-0043,Order Received,2025-04-23T05:51:00Z,R-Ops4,EcoLink Carriers
CASE-0043,Warehouse Pick & Pack,2025-04-23T07:47:13Z,R-Ops4,EcoLink Carriers
CASE-0043,Customs Clearance,2025-04-23T11:51:31Z,R-Ops4,EcoLink Carriers
CASE-0043,Road Transport Dispatch,2025-04-23T16:15:37Z,R-Ops4,EcoLink Carriers
CASE-0043,Last Mile Delivery,2025-04-24T15:44:38Z,R-Ops4,EcoLink Carriers
CASE-0044,Order Received,2025-10-14T19:20:00Z,R-Ops5,GreenFreight Ltd.
CASE-0044,Warehouse Pick & Pack,2025-10-14T21:15:30Z,R-Ops5,GreenFreight Ltd.
CASE-0044,Customs Clearance,2025-10-15T02:49:26Z,R-Ops5,GreenFreight Ltd.
CASE-0044,Air Freight Dispatch,2025-10-15T11:43:31Z,R-Ops5,GreenFreight Ltd.
CASE-0044,Last Mile Delivery,2025-10-15T15:44:39Z,R-Ops5,GreenFreight Ltd.
CASE-0045,Order Received,2025-03-23T23:55:00Z,R-Ops4,FastCargo Ltd.
CASE-0045,Warehouse Pick & Pack,2025-03-24T01:07:43Z,R-Ops4,FastCargo Ltd.
CASE-0045,Customs Clearance,2025-03-24T04:09:55Z,R-Ops4,FastCargo Ltd.
CASE-0045,Road Transport Dispatch,2025-03-24T10:08:36Z,R-Ops4,FastCargo Ltd.
CASE-0045,Last Mile Delivery,2025-03-25T08:48:05Z,R-Ops4,FastCargo Ltd.
CASE-0046,Order Received,2025-08-14T02:45:00Z,R-Ops3,Deecan Roadlines
CASE-0046,Warehouse Pick & Pack,2025-08-14T03:40:42Z,R-Ops3,Deecan Roadlines
CASE-0046,Customs Clearance,2025-08-14T06:45:55Z,R-Ops3,Deecan Roadlines
CASE-0046,Road Transport Dispatch,2025-08-14T13:19:23Z,R-Ops3,Deecan Roadlines
CASE-0046,Incineration Disposal,2025-08-15T05:42:24Z,R-Ops3,Deecan Roadlines
CASE-0046,Last Mile Delivery,2025-08-15T08:49:34Z,R-Ops3,Deecan Roadlines
CASE-0047,Order Received,2025-07-28T10:34:00Z,R-Ops4,EcoLink Carriers
CASE-0047,Warehouse Pick & Pack,2025-07-28T11:45:55Z,R-Ops4,EcoLink Carriers
CASE-0047,Customs Clearance,2025-07-28T14:00:52Z,R-Ops4,EcoLink Carriers
CASE-0047,Road Transport Dispatch,2025-07-29T00:40:39Z,R-Ops4,EcoLink Carriers
CASE-0047,Last Mile Delivery,2025-07-29T23:22:32Z,R-Ops4,EcoLink Carriers
CASE-0048,Order Received,2025-07-14T15:00:00Z,R-Ops5,EcoLink Carriers
CASE-0048,Warehouse Pick & Pack,2025-07-14T16:54:50Z,R-Ops5,EcoLink Carriers
CASE-0048,Customs Clearance,2025-07-14T20:06:30Z,R-Ops5,EcoLink Carriers
CASE-0048,Truck Delivery Transport Dispatch,2025-07-15T03:13:42Z,R-Ops5,EcoLink Carriers
CASE-0048,Last Mile Delivery,2025-07-16T05:35:08Z,R-Ops5,EcoLink Carriers
CASE-0049,Order Received,2025-04-23T15:14:00Z,R-Ops5,FastCargo Ltd.
CASE-0049,Warehouse Pick & Pack,2025-04-23T16:08:33Z,R-Ops5,FastCargo Ltd.
CASE-0049,Customs Clearance,2025-04-23T20:05:07Z,R-Ops5,FastCargo Ltd.
CASE-0049,Air Freight Dispatch,2025-04-24T03:11:46Z,R-Ops5,FastCargo Ltd.
CASE-0049,Last Mile Delivery,2025-04-24T08:23:19Z,R-Ops5,FastCargo Ltd.
CASE-0050,Order Received,2025-11-15T17:01:00Z,R-Ops2,GreenFreight Ltd.
CASE-0050,Warehouse Pick & Pack,2025-11-15T18:52:37Z,R-Ops2,GreenFreight Ltd.
CASE-0050,Customs Clearance,2025-11-15T23:14:40Z,R-Ops2,GreenFreight Ltd.
CASE-0050,Road Transport Dispatch,2025-11-16T08:32:55Z,R-Ops2,GreenFreight Ltd.
CASE-0050,Last Mile Delivery,2025-11-17T03:50:05Z,R-Ops2,GreenFreight Ltd.
CASE-0051,Order Received,2025-05-14T12:20:00Z,R-Ops1,Deecan Roadlines
CASE-0051,Warehouse Pick & Pack,2025-05-14T13:09:02Z,R-Ops1,Deecan Roadlines
CASE-0051,Customs Clearance,2025-05-14T16:27:29Z,R-Ops1,Deecan Roadlines
CASE-0051,Road Transport Dispatch,2025-05-15T02:32:52Z,R-Ops1,Deecan Roadlines
CASE-0051,Last Mile Delivery,2025-05-16T01:04:05Z,R-Ops1,Deecan Roadlines
CASE-0052,Order Received,2025-08-29T00:47:00Z,R-Ops1,SpeedJet Air Cargo
CASE-0052,Warehouse Pick & Pack,2025-08-29T02:05:32Z,R-Ops1,SpeedJet Air Cargo
CASE-0052,Customs Clearance,2025-08-29T08:05:31Z,R-Ops1,SpeedJet Air Cargo
CASE-0052,Air Freight Dispatch,2025-08-29T14:53:30Z,R-Ops1,SpeedJet Air Cargo
CASE-0052,Last Mile Delivery,2025-08-29T20:01:00Z,R-Ops1,SpeedJet Air Cargo
CASE-0053,Order Received,2025-04-13T00:39:00Z,R-Ops2,EcoLink Carriers
CASE-0053,Warehouse Pick & Pack,2025-04-13T01:22:42Z,R-Ops2,EcoLink Carriers
CASE-0053,Customs Clearance,2025-04-13T03:53:00Z,R-Ops2,EcoLink Carriers
CASE-0053,Road Transport Dispatch,2025-04-13T13:14:20Z,R-Ops2,EcoLink Carriers
CASE-0053,Last Mile Delivery,2025-04-14T06:25:07Z,R-Ops2,EcoLink Carriers
CASE-0054,Order Received,2025-11-07T19:47:00Z,R-Ops2,SpeedJet Air Cargo
CASE-0054,Warehouse Pick & Pack,2025-11-07T21:21:39Z,R-Ops2,SpeedJet Air Cargo
CASE-0054,Customs Clearance,2025-11-08T02:28:19Z,R-Ops2,SpeedJet Air Cargo
